"id","MOSTYPE","MAANTHUI","MGEMOMV","MGEMLEEF","MOSHOOFD","MGODRK","MGODPR","MGODOV","MGODGE","MRELGE","MRELSA","MRELOV","MFALLEEN","MFGEKIND","MFWEKIND","MOPLHOOG","MOPLMIDD","MOPLLAAG","MBERHOOG","MBERZELF","MBERBOER","MBERMIDD","MBERARBG","MBERARBO","MSKA","MSKB1","MSKB2","MSKC","MSKD","MHHUUR","MHKOOP","MAUT1","MAUT2","MAUT0","MZFONDS","MZPART","MINKM30","MINK3045","MINK4575","MINK7512","MINK123M","MINKGEM","MKOOPKLA","PWAPART","PWABEDR","PWALAND","PPERSAUT","PBESAUT","PMOTSCO","PVRAAUT","PAANHANG","PTRACTOR","PWERKT","PBROM","PLEVEN","PPERSONG","PGEZONG","PWAOREG","PBRAND","PZEILPL","PPLEZIER","PFIETS","PINBOED","PBYSTAND","AWAPART","AWABEDR","AWALAND","APERSAUT","ABESAUT","AMOTSCO","AVRAAUT","AAANHANG","ATRACTOR","AWERKT","ABROM","ALEVEN","APERSONG","AGEZONG","AWAOREG","ABRAND","AZEILPL","APLEZIER","AFIETS","AINBOED","ABYSTAND","CARAVAN"
"20","33","1","3","3","8","0","1","3","5","7","0","2","1","1","8","0","1","8","1","1","0","1","6","3","1","1","0","5","3","9","0","5","2","3","7","2","1","6","3","0","0","4","3","2","0","0","5","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"21","26","3","2","4","6","0","3","0","6","5","0","4","4","4","2","0","0","9","0","0","0","0","7","2","0","0","0","5","4","7","2","5","0","4","9","0","6","2","2","1","0","3","1","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"22","40","1","4","3","10","1","4","1","4","6","0","3","0","3","6","0","6","3","2","0","5","0","0","3","4","2","3","1","1","0","9","6","1","2","6","3","0","1","8","0","0","5","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"23","3","1","3","3","1","0","6","2","2","7","0","2","2","3","5","1","4","5","1","1","2","3","2","1","2","2","0","5","0","4","5","6","1","2","8","1","3","5","1","0","1","4","6","2","4","0","7","0","0","0","0","0","0","0","0","0","0","6","7","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0"
"24","25","1","1","5","6","1","5","1","3","2","0","7","7","1","2","2","5","3","1","2","1","5","1","2","2","1","5","2","0","1","8","4","1","4","3","6","1","7","1","1","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"25","38","1","2","3","9","1","5","1","3","5","1","3","2","3","4","2","3","5","2","1","1","3","1","3","2","2","2","3","2","4","5","6","2","2","6","3","3","4","2","1","0","4","4","0","2","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"26","33","1","3","4","8","0","7","0","2","6","0","3","2","2","5","0","5","5","3","0","5","1","0","1","3","1","5","1","0","0","9","3","3","3","2","7","2","5","3","0","0","3","3","0","0","3","7","0","0","0","2","5","0","3","0","0","0","0","6","0","0","0","0","0","0","0","1","4","0","0","0","1","2","0","1","0","0","0","0","1","0","0","0","0","0","0"
"27","24","1","2","3","5","0","6","0","3","3","0","6","1","4","4","0","2","7","2","0","0","2","4","4","1","0","1","4","4","9","0","5","0","4","5","4","3","6","1","0","0","3","2","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"28","39","1","3","2","9","0","3","1","6","8","1","1","1","2","6","1","3","6","0","0","0","3","5","2","0","1","2","6","1","6","3","6","2","2","9","0","2","7","1","0","0","3","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"29","33","2","3","3","8","0","2","3","5","6","3","0","0","3","6","0","1","8","0","0","0","1","6","3","0","1","1","8","0","3","6","6","3","0","9","0","3","5","2","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"30","33","1","3","3","8","0","4","1","4","7","0","2","2","3","5","0","2","7","0","0","3","0","3","3","2","0","2","3","4","3","6","5","2","3","7","2","5","4","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"31","22","1","2","3","5","5","1","1","3","5","1","4","3","4","3","2","2","5","1","1","0","5","1","2","1","2","3","4","2","7","2","6","1","3","5","4","2","2","5","0","0","4","3","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","31","1","3","3","7","0","5","0","4","5","1","4","2","4","4","1","2","7","0","0","1","2","1","6","1","1","0","2","6","8","1","4","2","4","8","1","2","7","1","0","0","3","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"33","24","1","2","2","5","0","3","1","5","3","4","2","1","7","1","0","4","5","0","0","0","4","2","3","0","3","2","4","0","7","2","4","1","4","9","0","3","5","2","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","41","1","2","3","10","1","4","1","4","7","1","2","3","5","2","0","5","4","2","0","0","3","0","4","0","4","3","2","0","2","7","6","2","1","5","4","3","2","0","4","0","6","4","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","8","1","3","3","2","0","7","0","2","6","0","3","3","3","4","0","5","4","2","0","0","4","4","0","2","2","0","5","0","4","5","7","2","0","7","2","0","3","4","3","0","6","7","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","33","1","3","3","8","1","5","0","3","7","1","2","1","2","6","1","4","5","2","1","0","3","2","3","1","3","2","4","1","3","6","6","2","2","6","3","2","4","3","1","1","4","3","0","0","3","6","0","0","0","0","4","0","0","0","0","0","0","5","0","0","0","0","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0"
"37","13","1","3","2","3","0","4","0","5","8","1","1","1","4","5","5","3","1","6","0","0","2","1","1","5","1","4","1","1","9","0","7","0","2","4","5","1","2","6","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","31","1","2","4","7","0","7","1","2","6","0","3","3","4","3","0","1","8","0","0","0","3","0","6","0","1","1","8","1","9","0","8","0","1","9","0","7","1","1","0","0","2","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","6","2","3","3","2","1","4","0","4","7","0","2","2","2","6","3","4","3","4","0","2","3","0","1","4","2","3","1","0","0","9","7","2","0","4","5","2","3","3","2","1","6","8","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","25","1","2","4","6","0","5","2","2","6","0","3","3","6","1","1","4","5","1","0","0","5","2","2","1","3","0","4","3","7","2","7","0","2","9","0","5","2","2","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"41","8","1","3","3","2","1","6","2","2","8","0","1","1","2","6","4","3","2","5","1","0","2","2","1","4","2","1","3","0","2","7","6","3","1","4","5","1","1","5","3","0","6","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"42","3","1","2","4","1","0","4","0","5","7","0","2","2","6","2","3","5","1","6","1","0","2","0","1","6","0","2","2","0","6","3","7","2","0","3","6","2","4","4","1","0","5","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","24","1","2","2","5","0","4","0","5","3","0","6","5","0","4","3","3","4","0","0","0","3","2","4","0","2","3","3","2","9","0","3","2","5","9","0","9","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","31","1","3","3","7","0","4","3","3","7","1","2","1","4","4","0","4","5","0","0","0","5","2","3","0","2","2","5","2","9","0","8","0","1","7","2","4","4","2","0","0","3","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","39","2","3","3","9","2","6","0","3","6","1","3","1","0","8","1","3","6","2","1","0","4","0","3","1","2","2","3","3","2","7","5","2","2","5","4","1","4","2","3","1","5","5","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","10","1","3","2","3","0","5","0","4","7","2","0","0","4","5","4","4","2","1","0","0","6","1","2","1","3","3","3","1","7","2","9","0","0","5","4","2","3","4","2","0","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"47","8","1","4","2","2","0","7","2","0","9","0","0","0","2","7","4","2","4","4","1","0","4","2","1","4","2","1","4","0","0","9","8","1","0","5","4","0","6","3","0","0","4","7","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"48","6","1","5","2","2","1","5","1","3","6","1","3","0","1","8","0","1","8","8","0","1","1","0","1","0","1","8","1","0","1","8","6","1","2","6","3","0","0","9","0","0","5","8","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","34","2","2","4","8","0","3","2","5","5","2","3","3","5","3","0","3","6","1","0","5","1","3","2","1","2","4","3","2","5","4","4","5","1","7","2","2","5","1","2","0","4","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"50","33","1","4","3","8","1","4","1","5","8","1","1","1","2","7","2","2","6","3","1","1","2","4","1","3","1","1","5","1","4","5","5","4","1","7","2","4","2","4","0","1","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"51","30","1","2","4","7","0","4","0","5","3","0","6","6","2","2","1","1","7","0","0","0","0","5","4","0","0","0","6","3","9","0","5","0","4","9","0","6","3","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"52","36","1","3","3","8","0","4","1","4","7","0","2","2","3","5","0","2","7","0","0","3","0","3","3","2","0","2","3","4","3","6","5","2","3","7","2","5","4","0","0","0","2","3","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","23","1","2","1","5","0","2","2","6","4","2","4","2","5","3","1","4","5","0","0","0","4","3","3","0","1","2","6","0","9","0","4","0","5","8","1","4","2","4","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"54","38","1","2","3","9","0","5","0","4","3","2","5","4","3","3","2","4","4","2","1","0","5","1","2","2","2","3","3","1","8","1","4","1","5","8","1","5","4","1","0","0","3","4","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"55","39","2","5","2","9","1","5","0","3","7","1","2","0","0","9","0","4","5","0","0","0","6","3","0","0","4","0","5","0","2","7","6","2","2","6","3","0","4","5","0","0","4","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","2","1","2","4","1","0","5","2","2","7","0","2","2","5","3","0","0","9","0","0","0","2","7","0","0","0","0","9","0","5","4","9","0","0","9","0","5","4","0","0","0","3","6","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","24","1","3","3","5","0","4","2","3","5","1","3","0","4","5","0","2","7","0","0","0","0","0","9","0","0","0","2","7","9","0","6","1","3","6","3","4","3","2","0","0","3","2","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","36","1","2","3","8","1","5","1","3","7","0","2","2","5","3","2","3","4","2","0","0","3","4","2","1","1","3","5","0","7","2","6","1","2","6","3","2","5","3","0","0","4","3","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","36","1","2","4","8","2","4","2","2","7","0","2","2","4","3","1","5","4","1","0","0","3","1","4","1","1","4","4","0","2","7","5","3","2","5","4","2","5","3","0","0","4","3","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"60","39","1","2","3","9","0","7","2","0","5","2","2","4","1","4","0","4","5","3","0","0","6","0","1","1","0","1","6","3","6","3","4","4","2","3","6","5","4","0","0","0","2","5","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","38","1","2","3","9","0","6","0","3","7","0","2","0","6","3","2","6","2","2","0","0","4","0","4","2","2","4","2","0","6","3","7","2","0","4","5","0","1","6","2","0","5","4","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"62","38","1","3","3","9","1","1","2","6","5","1","4","3","2","4","1","2","7","0","0","0","2","4","4","0","1","1","5","3","8","1","4","1","5","8","1","5","4","1","1","0","3","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"63","33","1","3","4","8","0","4","0","5","5","0","4","3","2","5","0","2","7","0","0","2","0","3","4","0","0","3","3","4","0","9","6","0","3","9","0","6","3","0","0","0","2","3","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"64","15","3","1","4","4","1","5","2","2","4","0","5","6","3","1","3","2","5","4","0","1","2","2","2","3","1","1","3","2","5","4","4","2","4","4","5","3","3","3","0","0","3","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"65","24","1","2","3","5","0","2","2","5","5","2","3","4","4","2","3","5","2","2","1","2","6","1","1","3","4","1","2","0","8","1","4","2","4","8","1","2","5","1","3","0","4","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","10","1","3","2","3","0","5","3","2","4","3","3","0","2","7","0","4","5","0","0","0","3","3","4","0","0","2","7","0","7","2","7","0","2","5","4","2","2","4","2","0","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"67","3","1","2","4","1","2","7","0","0","6","1","2","2","6","2","0","4","5","3","0","0","5","0","2","1","1","3","4","2","0","9","6","0","3","6","3","4","4","0","2","0","4","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"68","25","1","2","4","6","4","0","0","5","2","0","7","6","2","2","0","5","5","1","0","0","2","0","6","1","2","2","5","0","9","0","6","0","3","6","3","0","3","5","2","0","5","2","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","33","1","2","2","8","0","3","2","4","5","2","3","3","4","3","0","4","5","0","0","0","5","4","0","0","3","0","6","0","7","2","9","0","0","9","0","3","6","0","0","0","3","3","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","41","1","4","3","10","0","5","1","3","8","1","1","1","2","7","0","2","7","1","0","4","1","1","5","1","2","3","4","1","1","8","7","1","1","8","1","2","3","2","4","0","5","4","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"71","33","1","3","4","8","0","7","0","2","6","0","3","2","2","5","0","5","5","3","0","5","1","0","1","3","1","5","1","0","0","9","3","3","3","2","7","2","5","3","0","0","3","3","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
